,name,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,publisher_counts
0,Counter-Strike: Global Offensive,Valve,4011962,554258,"100,000,000 .. 200,000,000",28583,1016,7622,368,0,0,0,33
1,Dota 2,Valve,1130845,203615,"100,000,000 .. 200,000,000",35904,1818,1120,991,0,0,0,33
2,Team Fortress 2,Valve,642599,40620,"50,000,000 .. 100,000,000",9156,1299,348,190,0,0,0,33
3,PLAYERUNKNOWN'S BATTLEGROUNDS,Other,810585,691113,"20,000,000 .. 50,000,000",24486,822,10571,409,2999,2999,0,1
4,Unturned,Other,355424,35278,"20,000,000 .. 50,000,000",3781,633,322,167,0,0,0,1
5,Warframe,Other,336066,33560,"20,000,000 .. 50,000,000",7880,1047,418,372,0,0,0,2
6,Grand Theft Auto V,Other,724305,180679,"20,000,000 .. 50,000,000",10943,724,5345,243,2999,2999,0,17
7,Terraria,Other,548992,12210,"20,000,000 .. 50,000,000",5925,488,2210,143,999,999,0,2
8,Tom Clancy's Rainbow Six Siege,Ubisoft,629943,88033,"20,000,000 .. 50,000,000",12429,716,3079,328,1999,1999,0,123
9,Brawlhalla,Ubisoft,137116,24495,"20,000,000 .. 50,000,000",1865,439,198,241,0,0,0,123
10,Left 4 Dead 2,Valve,359918,10729,"20,000,000 .. 50,000,000",3318,292,571,136,999,999,0,33
11,Garry's Mod,Valve,558825,21010,"20,000,000 .. 50,000,000",9923,506,1499,148,999,999,0,33
12,Counter-Strike,Valve,158204,4131,"10,000,000 .. 20,000,000",7070,246,203,230,999,999,0,33
13,Half-Life 2: Lost Coast,Valve,7027,1121,"10,000,000 .. 20,000,000",39,0,20,0,0,0,0,33
14,Serena,Other,4748,1423,"10,000,000 .. 20,000,000",96,0,8,0,0,0,0,2
15,Paladins,Other,233061,39498,"10,000,000 .. 20,000,000",2649,250,450,55,0,0,0,5
16,War Thunder,Other,133190,32089,"10,000,000 .. 20,000,000",3189,767,307,478,0,0,0,4
17,PAYDAY 2,Other,388600,58615,"10,000,000 .. 20,000,000",4948,689,861,228,999,999,0,3
18,Counter-Strike: Source,Valve,104170,4310,"10,000,000 .. 20,000,000",9444,68,409,73,999,999,0,33
19,Path of Exile,Other,127982,9208,"10,000,000 .. 20,000,000",5875,1573,421,1222,0,0,0,1
20,Borderlands 2,Other,215658,15384,"10,000,000 .. 20,000,000",3007,1011,1038,1160,1999,1999,0,4
21,Heroes & Generals,Other,80958,39453,"10,000,000 .. 20,000,000",1445,217,101,249,0,0,0,1
22,Guacamelee! Super Turbo Championship Edition,Other,4573,377,"10,000,000 .. 20,000,000",125,76,59,76,1499,1499,0,4
23,Destiny 2,Other,220953,33052,"10,000,000 .. 20,000,000",3998,1457,373,980,0,0,0,1
24,Robocraft,Other,84376,32031,"10,000,000 .. 20,000,000",1401,1,223,1,0,0,0,3
25,Rocket League,Other,395241,40701,"10,000,000 .. 20,000,000",10422,705,1911,391,1999,1999,0,1
26,Rust,Other,386425,74097,"10,000,000 .. 20,000,000",15658,1283,2851,719,3999,3999,0,4
27,Warface,Other,40404,17741,"10,000,000 .. 20,000,000",3210,942,142,1457,0,0,0,7
28,Half-Life 2,Valve,101364,2960,"10,000,000 .. 20,000,000",679,87,373,112,999,999,0,33
29,Grim Dawn,Other,49521,3850,"10,000,000 .. 20,000,000",3871,78,1125,116,2499,2499,0,1
30,Trove,Other,59659,15152,"10,000,000 .. 20,000,000",2272,56,181,67,0,0,0,7
31,Black Squad,Other,53492,15466,"10,000,000 .. 20,000,000",553,258,69,490,0,0,0,1
32,Z1 Battle Royale,Other,114826,93725,"10,000,000 .. 20,000,000",2488,16,141,16,0,0,0,9
33,Half-Life Deathmatch: Source,Valve,1823,577,"10,000,000 .. 20,000,000",52,0,27,0,999,999,0,33
34,Ring of Elysium,Other,67658,21520,"10,000,000 .. 20,000,000",961,56,124,91,0,0,0,1
35,Portal 2,Valve,200512,2512,"10,000,000 .. 20,000,000",890,374,539,222,999,999,0,33
